Riconoscimenti,Attore
"Tengo una casa, Mejor actor",Pedro Alonso
" Miglior interpretazione maschile protagonista, Padre Casares, 2010",Pedro Alonso
" Miglior interpretazione maschile non protagonista, Gran Hotel, 2013",Pedro Alonso
" Miglior interpretazione maschile protagonista,Padre Casares, 2009",Pedro Alonso
" Miglior interpretazione maschile protagonista,Padre Casares, 2010",Pedro Alonso
" Ninfa de Oro al miglior attore, Padre Casares, 2009",Pedro Alonso
" Menzione speciale al miglior cast e troupe, 18 comidas, 2010",Pedro Alonso
" Miglior interpretazione maschile protagonista, Padre Casares, 2008",Pedro Alonso
" Miglior interpretazione maschile non protagonista, Gran Hotel,2012",Pedro Alonso
" Miglior interpretazione maschile non protagonista, La Bella Otero, 2008",Pedro Alonso
" Miglior attore, Insomnio, 1998",Pedro Alonso
FÃ©nix Film Award for Best Acting Ensemble in Series (2018) Vincitrice - per La casa di carta,Kiti Manver
 Premio Goya per la migliore attrice non protagonista (2017) Vincitrice,Kiti Manver
Emmy Awards,Itziar Ituno
 Premio Gomes para serie de televisiÃ³n,Itziar Ituno
 Premio Goya,Itziar Ituno
2019 - Premio come miglior attrice protagonista nel film La trinchera infinita,Belen Cuesta
 Premio Goya,Belen Cuesta
2018 â€“ Candidatura al miglior attore protagonista di una serie TV per La casa di carta,Alvaro Morte
 2018 â€“ Candidatura al miglior attore principale per La casa di carta,Alvaro Morte
 2018 â€“ Candidatura al miglior attore per La casa di carta,Alvaro Morte
"2016 - Premio Goya, Miglior attore rivelazione",Miguel Herran
"2014, Men's Health, Donna dell'anno",Ursula Corbero
" 2011, Kapital, Migliore Attrice - Fisica o Chimica",Ursula Corbero
" 2014, Sitges Film Festival, Spirito Indomabile - Sua carriera",Ursula Corbero
" 2009, Denominacion de Origen de la Mancha, Giovani del 2009 - Fisica o Chimica",Ursula Corbero
" 2015, Alicante Film Festival, Promessa del panorama cinematografico",Ursula Corbero
" 2010, Top Glamour, Migliore Attrice Rivelazione - Fisica o Chimica",Ursula Corbero
